Species,Scientific Name,Type,Order,NOT Species Level,Cat_1#,Cat1_Source,Cat_2#,Cat2_Source,Cat_3#,Cat3_Source,Cat_4#,Cat4_Source,Total,IUCN,Notes,,
Longnosed skate,Dipturus oxyrinchus,Ray/Skate,Rajiform,FALSE,,,2,"Bengil, 2020; Ćetković et al., 2024",,,,,,VU,,,
Velvet belly lanternshark,Etmopterus spinax,Shark,Squaliform,FALSE,,,1,"Ćetković et al., 2024",,,,,,VU,,,
Tiger shark,Galeocerdo cuvier,Shark,Carcharhiniform,FALSE,,,7,"McCallister et al., 2025; Leurs et al., 2025; Humber et al., 2017; Blanco-Parra et al., 2022; Séguigne et al., 2023; Ward-Paige et al., 2023; Osgood et al., 2021",,,,,,NT,,3,Mentions chondrichthyan(s) and engages with related data
Tope shark,Galeorhinus galeus,Shark,Carcharhiniform,FALSE,,,1,"Ćetković et al., 2024",,,,,,CR,,,
Blackmouth catshark,Galeus melastomus,Shark,Carcharhiniform,FALSE,,,1,"Ćetković et al., 2024",,,,,,LC,,,
Nurse shark,Ginglymostoma cirratum,Shark,Orectolobiform,FALSE,,,3,"McCallister et al., 2025; Leurs et al., 2025; Blanco-Parra et al., 2022",1,"Vieira et al., 2020",,,,VU,,,
Blackchin guitarfish,Glaucostegus cemiculus,Ray/Skate,Rhinopristiform,FALSE,,,1,"Bengil, 2020",,,,,,CR,,,
Giant guitarfish,Glaucostegus typus,Ray/Skate,Rhinopristiform,FALSE,,,1,"Bateman et al., 2024",,,,,,CR,,,
Spiny butterfly ray,Gymnura altavela,Ray/Skate,Myliobatiform,FALSE,,,1,"Bengil, 2020",,,,,,EN,,,
Snaggletooth shark,Hemipristis elongata,Shark,Carcharhiniform,FALSE,,,1,"Humber et al., 2017; ",,,,,,EN,,,
Sharpnose sevengill shark,Heptranchias perlo,Shark,Hexanchiform,FALSE,,,1,"Bengil, 2020",,,,,,NT,,,
Horn shark,Heterodontus francisci,Shark,Heterodontiform,FALSE,1,"Alvarez, 2025",,,,,,,,LC,DD -> LC,,
Galápagos bullhead shark,Heterodontus quoyi,Shark,Heterodontiform,FALSE,,,,,1,"Muñoz-Pérez et al., 2023",,,,LC,,,
Bluntnose sixgill shark,Hexanchus griseus,Shark,Hexanchiform,FALSE,,,3,"Bengil, 2020; Ćetković et al., 2024; De Santis et al., 2025",,,,,,NT,,,
Bigeyed sixgill shark,Hexanchus nakamurai,Shark,Hexanchiform,FALSE,,,1,"Humber et al., 2017; ",,,,,,NT,,,
Southern stingray,Hypanus americanus,Ray/Skate,Myliobatiform,FALSE,,,1,"Blanco-Parra et al., 2022",1,"Vieira et al., 2020",,,,NT,,,
Longnose stingray,Hypanus guttatus,Ray/Skate,Myliobatiform,FALSE,,,1,"Blanco-Parra et al., 2022",,,,,,NT,,,
Large-eye stingray,Hypanus marianae,Ray/Skate,Myliobatiform,FALSE,,,,,1,"Vieira et al., 2020",,,,EN,,,
Shortfin mako,Isurus oxyrinchus,Shark,Lamniform,FALSE,,,7,"McCallister et al., 2025; Humber et al., 2017; Bengil, 2020; Blanco-Parra et al., 2022; Séguigne et al., 2023; Ćetković et al., 2024; De Santis et al., 2025",,,,,,EN,,4,Mentions chondrichthyan(s) but does not engage meaningfully with related data
Porbeagle shark,Lamna nasus,Shark,Lamniform,FALSE,,,2,"Ćetković et al., 2024; De Santis et al., 2025",,,,,,VU,,,
Sliteye shark,Loxodon macrorhinus,Shark,Carcharhiniform,FALSE,,,1,"Humber et al., 2017; ",,,,,,NT,,,
Reef manta ray,Mobula alfredi,Ray/Skate,Myliobatiform,FALSE,3,"Lassauce et al., 2024; Germanov et al., 2019; Argeswara et al., 2025",2,"Séguigne et al., 2023; Rambahiniarison et al., 2023",1,"Gotama et al., 2023",,,,VU,,,
Oceanic manta ray,Mobula birostris,Ray/Skate,Myliobatiform,FALSE,2,"Knochel et al., 2022; Couturier et al., 2015",4,"Blanco-Parra et al., 2022; Séguigne et al., 2023; Rambahiniarison et al., 2023; Ozaki et al., 2024",,,,,,EN,,,
Atlantic pygmy devil ray,Mobula hypostoma,Ray/Skate,Myliobatiform,FALSE,,,1,"Blanco-Parra et al., 2022",,,,,,EN,,,
Spinetail devil ray,Mobula mobular,Ray/Skate,Myliobatiform,FALSE,,,3,"Ćetković et al., 2024; Ozaki et al., 2024; De Santis et al., 2025",1,"Muñoz-Pérez et al., 2023",,,,CR,EN -> CR,,
Mobula spp.,Mobula spp.,Ray/Skate,Myliobatiform,TRUE,,,1,"Osgood et al., 2021",,,,,,Multiple/Many,,,
Sicklefin devil ray,Mobula tarapacana,Ray/Skate,Myliobatiform,FALSE,,,1,"Séguigne et al., 2023",,,,,,CR,EN -> CR,,
Starry smoothhound,Mustelus asterias,Shark,Carcharhiniform,FALSE,,,1,"Bengil, 2020",,,,,,NT,,,
Common smoothhound,Mustelus mustelus,Shark,Carcharhiniform,FALSE,,,2,"Bengil, 2020; Ćetković et al., 2024",,,,,,EN,,,
Blackspotted smoothhound,Mustelus punctulatus,Shark,Carcharhiniform,FALSE,,,2,"Bengil, 2020; Ćetković et al., 2024",,,,,,VU,,,
Smoothhound sp.,Mustelus spp.,Shark,Carcharhiniform,TRUE,,,2,"Humber et al., 2017; De Santis et al., 2025",,,,,,Multiple/Many,,,
Common eagle ray,Myliobatis aquila,Ray/Skate,Myliobatiform,FALSE,,,2,"Bengil, 2020; Ćetković et al., 2024",,,,,,CR,,,
