"","species","scientific_name","division","order","not_species_level","cat1_total","cat2_total","cat3_total","cat4_total","iucn","species_totals"
"57","Sliteye shark","Loxodon macrorhinus","Shark","Carcharhiniform",FALSE,0,1,0,0,"NT",1
"58","Reef manta ray","Mobula alfredi","Ray/Skate","Myliobatiform",FALSE,3,2,1,0,"VU",6
"59","Oceanic manta ray","Mobula birostris","Ray/Skate","Myliobatiform",FALSE,2,4,0,0,"EN",6
"60","Atlantic pygmy devil ray","Mobula hypostoma","Ray/Skate","Myliobatiform",FALSE,0,1,0,0,"EN",1
"61","Spinetail devil ray","Mobula mobular","Ray/Skate","Myliobatiform",FALSE,0,3,1,0,"CR",4
"62","Mobula spp.","Mobula spp.","Ray/Skate","Myliobatiform",TRUE,0,1,0,0,"Multiple/Many",1
"63","Sicklefin devil ray","Mobula tarapacana","Ray/Skate","Myliobatiform",FALSE,0,1,0,0,"CR",1
"64","Starry smoothhound","Mustelus asterias","Shark","Carcharhiniform",FALSE,0,1,0,0,"NT",1
"65","Common smoothhound","Mustelus mustelus","Shark","Carcharhiniform",FALSE,0,2,0,0,"EN",2
"66","Blackspotted smoothhound","Mustelus punctulatus","Shark","Carcharhiniform",FALSE,0,2,0,0,"VU",2
"67","Smoothhound sp.","Mustelus spp.","Shark","Carcharhiniform",TRUE,0,2,0,0,"Multiple/Many",2
"68","Common eagle ray","Myliobatis aquila","Ray/Skate","Myliobatiform",FALSE,0,2,0,0,"CR",2
"69","Southern eagle ray","Myliobatis australis","Ray/Skate","Myliobatiform",FALSE,0,0,1,0,"LC",1
"70","Deep-water species not yet identified","n/a","noot","noot",TRUE,0,1,0,0,"Multiple/Many",1
"71","Lesser numbfish","Narcine brasiliensis","Ray/Skate","Torpediniform",FALSE,0,1,0,0,"NT",1
"72","Tawny nurse shark","Nebrius ferrugineus","Shark","Orectolobiform",FALSE,0,3,0,0,"VU",3
"73","Sharptooth lemon shark","Negaprion acutidens","Shark","Carcharhiniform",FALSE,0,3,0,0,"EN",3
"74","Lemon shark","Negaprion brevirostris","Shark","Carcharhiniform",FALSE,0,2,0,0,"VU",2
"75","Maskray sp.","Neotrygon sp.","Ray/Skate","Myliobatiform",TRUE,0,0,1,0,"Multiple/Many",1
"76","Smalltooth sand tiger shark","Odontaspis ferox","Shark","Lamniform",FALSE,0,3,0,0,"EN",3
"77","Bigeye sand tiger shark","Odontaspis noronhai","Shark","Lamniform",FALSE,0,1,0,0,"LC",1
"78","Wobbegong spp.","Orectolobidae spp.","Shark","Orectolobiform",TRUE,0,0,0,1,"Multiple/Many",1
"79","Spotted wobbegong","Orectolobus maculatus","Ray/Skate","Orectolobiform",FALSE,0,0,1,0,"LC",1
"80","Angular roughshark","Oxynotus centrina","Shark","Squaliform",FALSE,0,3,0,0,"EN",3
"81","Pink whipray","Pateobatis fai","Ray/Skate","Myliobatiform",FALSE,0,1,0,0,"VU",1
"82","Blue shark","Prionace glauca","Shark","Carcharhiniform",FALSE,1,3,0,0,"NT",4
"83","Sawshark sp.","Pristiophoridae sp.","Shark","Pristophoriform",TRUE,0,1,0,0,"Multiple/Many",1
"84","African dwarf sawshark","Pristiophorus nancyae","Shark","Pristophoriform",FALSE,0,1,0,0,"LC",1
"85","Dwarf sawfish","Pristis clavata","Ray/Skate","Rhinopristiform",FALSE,0,2,0,0,"CR",2
